LatDD,LonDD
51.044802686666664,13.777910358333335
51.04480543,13.777899061666668
51.04480819166667,13.777887473333335
51.04481101666667,13.777875865000002
51.044813835000014,13.777864238333333
51.044816641666664,13.77785260666667
51.04481957833333,13.77784104333333
51.04482237333332,13.777829513333332
51.04482519666667,13.77781786666667
51.04482810333332,13.777806231666666
51.04483098500001,13.777794433333334
51.044833923333314,13.777782551666666
51.04483687833332,13.777770676666668
51.04483981000001,13.777758741666666
51.044842814999996,13.777746608333333
51.04484585500001,13.777734449999999
51.04484906000001,13.777722371666668
51.044852206666654,13.777710068333333
51.04485522333333,13.777697631666667
51.04485832666668,13.777685188333331
51.044861415,13.777672681666669
51.04486457499999,13.777660171666666
51.044867751666665,13.777647571666668
51.04487092333332,13.777634936666667
51.04487408333334,13.777622256666666
51.04487724333333,13.777609535
51.04488040666665,13.777596746666665
51.04488366499998,13.77758391333333
51.044886858333335,13.777571071666667
51.044890106666664,13.777558154999998
51.04489335166668,13.777545199999997
51.04489663,13.777532181666666
51.044899844999996,13.777519153333333
51.044903221666665,13.777506090000001
51.04490653333334,13.777492978333335
51.04490982333332,13.777479913333332
51.04491429833333,13.777467836666665
51.04491764666667,13.777454653333336
51.04492093333333,13.777441406666666
51.044924300000005,13.777428216666666
51.044927706666655,13.777414843333334
51.044931126666675,13.777401428333333
51.04493448833333,13.777388059999998
51.044937871666676,13.777374734999997
51.04494134,13.777361316666664
51.04494475666665,13.777347748333334
51.04494819499999,13.777334166666666
51.04495069833333,13.777319404999998
51.044954163333344,13.777305633333333
51.04495768333333,13.777291886666667
51.04496123666666,13.777278096666665
51.04496474833333,13.777264298333337
51.044968363333325,13.777250259999997
51.044971889999985,13.777236273333335
51.044975485,13.777222126666663
51.04497905833333,13.777207883333336
51.044982775,13.777193676666665
51.044986331666664,13.777179218333334
51.04498998333334,13.777164701666663
51.04499375833334,13.777150129999999
51.04499740666667,13.777135404999997
51.04500109166667,13.777120745000001
51.04500485166668,13.777106011666667
51.04500856333334,13.777091181666666
51.04501218999999,13.777076121666669
51.04501593,13.777061090000002
51.04501973833333,13.777046038333333
51.045023568333335,13.777030966666667
51.045027336666664,13.777015770000002
51.045031155,13.777000558333334
51.045034866666676,13.776985198333334
51.04503856666667,13.77696978666667
51.04504243833333,13.776954396666667
51.045046236666664,13.776938844999998
51.04505000000001,13.776923211666666
51.04505381333333,13.77690745666667
51.045057451666665,13.776891586666666
51.04506126000001,13.776875718333335
51.04506502666666,13.77685976333333
51.045068865,13.776843799999998
51.045072665,13.776827778333336
51.04507648666666,13.776811516666665
51.04508030833334,13.776795276666666
51.04508422333332,13.776779006666667
51.045088096666674,13.776762555000001
51.04509196666666,13.776746215
51.04509586166666,13.776729673333337
51.04509985833333,13.776713215000003
51.04510371333334,13.776696654999997
51.04510766166666,13.77668038666667
51.04511151166666,13.776663831666667
51.045115485,13.776647480000001
51.04511954333334,13.77663166166667
51.045123385000004,13.776615321666668
51.045127189999995,13.776598878333335
51.04513117,13.77658238166667
51.04513521499998,13.776565795
51.04513926499999,13.776549263333333
51.04514330833334,13.776532575
51.04514737166667,13.776515711666669
51.045151475,13.77649888
51.045155716666656,13.77648190833333
51.04515992833332,13.776464756666666
51.04516433666666,13.776447738333331
51.04516854,13.776430493333331
51.04517292333332,13.776413368333332
51.04517733166666,13.776396086666667
51.045181675,13.776378779999996
51.04518429666667,13.776357263333333
51.04518865500001,13.776339810000001
51.04519314166666,13.776322471666667
51.04519764833332,13.776305096666666
51.04520217333334,13.776287815
51.045206631666666,13.77627037
51.045211163333335,13.776253053333335
51.04521566499999,13.776235516666668
51.04522014833333,13.776218026666667
51.045224746666676,13.776200673333335
51.045229400000004,13.776183256666668
51.04523390166667,13.776165725000002
51.045240341666656,13.776152151666663
51.045244955000015,13.776134645000003
51.045249755,13.776117258333333
51.045254439999994,13.776099709999999
51.04525903833334,13.776082258333334
51.045263813333335,13.77606476166667
51.04526860166667,13.776047288333332
51.04527348500001,13.776029736666665
51.045278321666665,13.776012378333338
51.045283239999996,13.775995029999997
51.04528804333334,13.775977671666665
51.04529298333333,13.775960553333334
51.04529786499999,13.775943268333332
51.04530292833333,13.775926145000001
51.045307876666676,13.775909000000002
51.045312941666666,13.775892068333329
51.04531802333333,13.77587516166667
51.045323016666664,13.775858221666665
51.04532815166667,13.775841491666664
51.045333353333326,13.775825070000003
51.04533870500001,13.775808876666668
51.045343925,13.775792493333332
51.045349215,13.775776173333334
51.04535454,13.77575991
51.04535988333334,13.77574383
51.04536527833332,13.775727885
51.04537069166666,13.775711996666667
51.045376036666674,13.775696151666667
51.04538132333334,13.775680301666666
51.045386783333335,13.775665065000002
51.045392191666664,13.775649298333338
51.04539765333334,13.775634013333335
51.04540327666667,13.77561922
51.04540887833333,13.775604429999998
51.045414310000005,13.775589163333333
51.04541994166667,13.775574373333336
51.04542561333333,13.775559913333332
51.04543116666667,13.775545159999998
51.04543675333334,13.775530706666666
51.045442425,13.775516053333336
51.045447978333335,13.775501773333334
51.04545366666668,13.775487418333334
51.045457598333314,13.775469059999997
51.04546325666665,13.775454823333337
51.04546883,13.77544011
51.04547445833334,13.775426073333335
51.04548012333331,13.775412025
51.04548760000001,13.775401681666668
51.04549337499999,13.775387470000002
51.045499,13.77537338
51.04550467000001,13.775359208333334
51.045510435000004,13.775345178333335
51.04551620333332,13.775331158333335
51.04552178166667,13.775317221666663
51.04552729499999,13.77530307
51.045532943333335,13.775289083333332
51.04553877333333,13.775275093333335
51.045544453333335,13.775261228333333
51.04555006999999,13.775247186666668
